C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Milan Lucic (7713675),Milan Lucic,7713675,5800,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,D,John Carlson (7714059),John Carlson,7714059,5800,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,RW,Jason Spezza (7713864),Jason Spezza,7713864,5800,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,LW,Jaden Schwartz (7713603),Jaden Schwartz,7713603,5700,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,RW,Kyle Okposo (7713808),Kyle Okposo,7713808,5700,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,C,Victor Rask (7713548),Victor Rask,7713548,5700,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,C,Jonathan Toews (7713552),Jonathan Toews,7713552,5700,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,D,Ryan Suter (7713899),Ryan Suter,7713899,5600,Min@Col 03:00PM ET,Min,
,,,,,,,,,,C,Derek Stepan (7713468),Derek Stepan,7713468,5600,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,D,Rasmus Ristolainen (7714010),Rasmus Ristolainen,7714010,5600,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,LW,Jonathan Marchessault (7713691),Jonathan Marchessault,7713691,5600,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,D,Duncan Keith (7714097),Duncan Keith,7714097,5600,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,C,Jeff Carter (7713564),Jeff Carter,7713564,5600,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,C,Sean Monahan (7713570),Sean Monahan,7713570,5600,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,C,Joe Thornton (7713574),Joe Thornton,7713574,5600,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,LW,Alexander Steen (7713599),Alexander Steen,7713599,5500,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,D,Ryan McDonagh (7713941),Ryan McDonagh,7713941,5500,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,C,Brayden Schenn (7713492),Brayden Schenn,7713492,5500,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,LW,Jonathan Drouin (7713669),Jonathan Drouin,7713669,5500,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,C,Ryan Johansen (7713546),Ryan Johansen,7713546,5500,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Gabriel Landeskog (7713594),Gabriel Landeskog,7713594,5400,Min@Col 03:00PM ET,Col,
,,,,,,,,,,D,Zach Werenski (7713932),Zach Werenski,7713932,5400,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,LW,Daniel Sedin (7713621),Daniel Sedin,7713621,5400,Van@Tor 07:00PM ET,Van,
,,,,,,,,,,C,Kyle Turris (7713501),Kyle Turris,7713501,5400,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,RW,T.J. Oshie (7713842),T.J. Oshie,7713842,5400,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,D,Justin Faulk (7714081),Justin Faulk,7714081,5400,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,D,Brent Seabrook (7714098),Brent Seabrook,7714098,5400,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,C,Paul Stastny (7713457),Paul Stastny,7713457,5300,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,RW,David Backes (7713767),David Backes,7713767,5300,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,D,Victor Hedman (7714021),Victor Hedman,7714021,5300,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,LW,Jonathan Huberdeau (7713690),Jonathan Huberdeau,7713690,5300,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,LW,Richard Panik (7713710),Richard Panik,7713710,5300,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,C,Eric Staal (7713441),Eric Staal,7713441,5200,Min@Col 03:00PM ET,Min,
,,,,,,,,,,D,Erik Johnson (7713900),Erik Johnson,7713900,5200,Min@Col 03:00PM ET,Col,
,,,,,,,,,,LW,Brandon Saad (7713606),Brandon Saad,7713606,5200,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,RW,Bobby Ryan (7713806),Bobby Ryan,7713806,5200,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,LW,Andrew Ladd (7713671),Andrew Ladd,7713671,5200,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,D,Johnny Boychuk (7714034),Johnny Boychuk,7714034,5200,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,C,Vincent Trocheck (7713536),Vincent Trocheck,7713536,5200,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,RW,Marian Hossa (7713860),Marian Hossa,7713860,5200,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,D,John Klingberg (7714105),John Klingberg,7714105,5200,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,RW,Tyler Toffoli (7713880),Tyler Toffoli,7713880,5200,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,D,Drew Doughty (7714123),Drew Doughty,7714123,5200,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,D,Kevin Shattenkirk (7713917),Kevin Shattenkirk,7713917,5100,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,C,David Krejci (7713465),David Krejci,7713465,5100,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,LW,Jimmy Vesey (7713617),Jimmy Vesey,7713617,5100,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,C,Nazem Kadri (7713478),Nazem Kadri,7713478,5100,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,LW,James van Riemsdyk (7713624),James van Riemsdyk,7713624,5100,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,C,Derick Brassard (7713500),Derick Brassard,7713500,5100,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,RW,Mark Stone (7713810),Mark Stone,7713810,5100,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,LW,Tanner Pearson (7713728),Tanner Pearson,7713728,5100,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,D,Tyson Barrie (7713908),Tyson Barrie,7713908,5000,Min@Col 03:00PM ET,Col,
,,,,,,,,,,RW,J.T. Miller (7713772),J.T. Miller,7713772,5000,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,C,Ryan Nugent-Hopkins (7713523),Ryan Nugent-Hopkins,7713523,5000,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,LW,Patrick Sharp (7713705),Patrick Sharp,7713705,5000,Chi@Dal 08:00PM ET,Dal,
,,,,,,,,,,RW,Charlie Coyle (7713749),Charlie Coyle,7713749,4900,Min@Col 03:00PM ET,Min,
,,,,,,,,,,RW,Cam Atkinson (7713760),Cam Atkinson,7713760,4900,Cls@StL 07:00PM ET,Cls,
,,,,,,,,,,D,Alex Pietrangelo (7713919),Alex Pietrangelo,7713919,4900,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,C,Tyler Johnson (7713514),Tyler Johnson,7713514,4900,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,C,Brock Nelson (7713522),Brock Nelson,7713522,4900,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,C,Leon Draisaitl (7713525),Leon Draisaitl,7713525,4900,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,RW,Lee Stempniak (7713850),Lee Stempniak,7713850,4900,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,C,Tomas Hertl (7713581),Tomas Hertl,7713581,4900,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,C,Tomas Plekanec (7713488),Tomas Plekanec,7713488,4800,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,RW,Josh Bailey (7713830),Josh Bailey,7713830,4800,Edm@NYI 07:00PM ET,NYI,
,,,,,,,,,,RW,Jaromir Jagr (7713839),Jaromir Jagr,7713839,4800,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,LW,Patrick Marleau (7713731),Patrick Marleau,7713731,4800,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,C,Mikko Koivu (7713440),Mikko Koivu,7713440,4700,Min@Col 03:00PM ET,Min,
