C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RW,Joe Colborne (7718957),Joe Colborne,7718957,3500,Col@StL 05:00PM ET,Col,
,,,,,,,,,,D,Danny DeKeyser (7719063),Danny DeKeyser,7719063,3500,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,C,Radek Faksa (7718846),Radek Faksa,7718846,3500,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,C,Devin Shore (7718847),Devin Shore,7718847,3500,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,LW,Matthew Tkachuk (7718952),Matthew Tkachuk,7718952,3500,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Patrick Wiercioch (7719037),Patrick Wiercioch,7719037,3400,Col@StL 05:00PM ET,Col,
,,,,,,,,,,LW,Andreas Athanasiou (7718899),Andreas Athanasiou,7718899,3400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Zack Kassian (7718970),Zack Kassian,7718970,3400,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,D,Ryan Sproul (7719058),Ryan Sproul,7719058,3400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,D,Darnell Nurse (7719064),Darnell Nurse,7719064,3400,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Mattias Janmark (7718850),Mattias Janmark,7718850,3400,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,LW,Shawn Matthias (7718931),Shawn Matthias,7718931,3400,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,LW,Pavel Buchnevich (7718937),Pavel Buchnevich,7718937,3400,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Kevin Klein (7719109),Kevin Klein,7719109,3400,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Toby Enstrom (7719114),Toby Enstrom,7719114,3400,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,D,Kevin Bieksa (7719133),Kevin Bieksa,7719133,3400,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,D,Brandon Davidson (7719053),Brandon Davidson,7719053,3300,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Reid Boucher (7718986),Reid Boucher,7718986,3300,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,D,Ron Hainsey (7719067),Ron Hainsey,7719067,3300,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Ben Lovejoy (7719070),Ben Lovejoy,7719070,3300,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,D,Michal Rozsival (7719089),Michal Rozsival,7719089,3300,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,D,Jordie Benn (7719096),Jordie Benn,7719096,3300,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,D,Dan Girardi (7719112),Dan Girardi,7719112,3300,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Ryan Garbutt (7718946),Ryan Garbutt,7718946,3300,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,RW,Micheal Ferland (7719020),Micheal Ferland,7719020,3300,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Shea Theodore (7719145),Shea Theodore,7719145,3300,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,RW,Drew Miller (7718967),Drew Miller,7718967,3200,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,D,Brendan Smith (7719051),Brendan Smith,7719051,3200,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,LW,Beau Bennett (7718911),Beau Bennett,7718911,3200,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,RW,Phillip Di Giuseppe (7718988),Phillip Di Giuseppe,7718988,3200,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Andy Greene (7719069),Andy Greene,7719069,3200,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,D,Johnny Oduya (7719093),Johnny Oduya,7719093,3200,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,D,Gustav Forsling (7719106),Gustav Forsling,7719106,3200,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,C,Oscar Lindberg (7718857),Oscar Lindberg,7718857,3200,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Joel Armia (7719011),Joel Armia,7719011,3200,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,D,Nick Holden (7719116),Nick Holden,7719116,3200,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Josh Morrissey (7719125),Josh Morrissey,7719125,3200,Wpg@NYR 07:00PM ET,Wpg,
