Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Jayden Halbgewachs (14426350),Jayden Halbgewachs,14426350,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
RW,Anthony Greco (14426352),Anthony Greco,14426352,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Tim Heed (14426536),Tim Heed,14426536,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.81
D,Dalton Prout (14426556),Dalton Prout,14426556,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.45
D,Jacob Middleton (14426558),Jacob Middleton,14426558,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3
D,Anton Lindholm (14426572),Anton Lindholm,14426572,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,4
D,Mark Alt (14426574),Mark Alt,14426574,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,0
D,Trevor Carrick (14426638),Trevor Carrick,14426638,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0.5
D,Nick DeSimone (14426640),Nick DeSimone,14426640,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Ryan Merkley (14426642),Ryan Merkley,14426642,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Nicolas Meloche (14426644),Nicolas Meloche,14426644,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
